"time","eload","Temp"
"1/1/14 1:00",24.1725,52.6
"1/1/14 1:15",24.95,52.1
"1/1/14 1:30",23.6175,51.1
"1/1/14 1:45",23.7425,49.7
"1/1/14 2:00",24.7725,49.6
"1/1/14 2:15",23.4475,49.6
"1/1/14 2:30",24.4975,49.6
"1/1/14 2:45",24.4175,49.6
"1/1/14 3:00",24.0475,49.6
"1/1/14 3:15",23.085,49.6
"1/1/14 3:30",23.775,49.6
"1/1/14 3:45",24.9625,49.6
"1/1/14 4:00",24.4325,49.6
"1/1/14 4:15",24.9675,49.6
"1/1/14 4:30",22.835,49.6
"1/1/14 4:45",23.2975,49.6
"1/1/14 5:00",23.6625,49.6
"1/1/14 5:15",24.4225,49.6
"1/1/14 5:30",21.91,49.6
"1/1/14 5:45",24.285,49.6
"1/1/14 6:00",25.43,49.6
"1/1/14 6:15",28.485,49.6
"1/1/14 6:30",29.5975,49.6
"1/1/14 6:45",28.3825,49.6
"1/1/14 7:00",26.8075,49.6
"1/1/14 7:15",27.91,49.6
"1/1/14 7:30",24.0575,49.6
"1/1/14 7:45",27.73,49.6
"1/1/14 8:00",27,49.6
"1/1/14 8:15",23.1375,53.1
"1/1/14 8:30",25.1075,51.7
"1/1/14 8:45",25.8025,50
"1/1/14 9:00",25.06,50.3
"1/1/14 9:15",26.28,51.1
"1/1/14 9:30",25.925,50.7
"1/1/14 9:45",24.61,50.3
"1/1/14 10:00",24.9825,50
"1/1/14 10:15",22.2525,50.1
"1/1/14 10:30",25.0875,51.8
"1/1/14 10:45",25.4825,52.2
"1/1/14 11:00",22.925,53.7
"1/1/14 11:15",25.445,54.3
"1/1/14 11:30",24.8875,54.8
"1/1/14 11:45",24.8825,54.8
"1/1/14 12:00",24.02,56.2
"1/1/14 12:15",25.7,57.1
"1/1/14 12:30",26.5425,58.1
"1/1/14 12:45",25.5625,58.1
"1/1/14 13:00",26.1475,60.6
"1/1/14 13:15",24.935,60.9
"1/1/14 13:30",24.165,61.2
"1/1/14 13:45",23.225,61.7
"1/1/14 14:00",25.1675,63.1
"1/1/14 14:15",23.135,62.6
"1/1/14 14:30",25.385,63.7
"1/1/14 14:45",26.2875,62.6
"1/1/14 15:00",23.7575,60.3
"1/1/14 15:15",24.695,60.4
"1/1/14 15:30",22.01,61
"1/1/14 15:45",23.8125,62
"1/1/14 16:00",23.6225,62.7
"1/1/14 16:15",24.575,62.5
"1/1/14 16:30",23.795,63.5
"1/1/14 16:45",25.895,62.6
"1/1/14 17:00",24.6225,61.3
"1/1/14 17:15",24.65,61.4
"1/1/14 17:30",25.88,60.5
"1/1/14 17:45",25.3825,60.5
"1/1/14 18:00",26.23,61
"1/1/14 18:15",25.645,61.4
"1/1/14 18:30",25.295,61.5
"1/1/14 18:45",24.7225,60.7
"1/1/14 19:00",24.18,60.3
"1/1/14 19:15",22.6425,60.5
"1/1/14 19:30",22.885,60.3
"1/1/14 19:45",25.5725,59.8
"1/1/14 20:00",26.6625,58.9
"1/1/14 20:15",24.8875,58.7
"1/1/14 20:30",24.3025,60.4
"1/1/14 20:45",25.105,60
"1/1/14 21:00",24.3775,58
"1/1/14 21:15",25.24,57.6
"1/1/14 21:30",25.26,57.4
"1/1/14 21:45",26.09,57.2
"1/1/14 22:00",24.97,55.9
"1/1/14 22:15",22.9475,56.2
"1/1/14 22:30",23.4125,56.6
"1/1/14 22:45",24.5125,56.2
"1/1/14 23:00",23.82,56.1
"1/1/14 23:15",25.6825,56.5
"1/1/14 23:30",23.0175,57.3
"1/1/14 23:45",24.42,57.5
"1/2/14 0:00",23.255,56.7
"1/2/14 0:15",22.455,56.8
"1/2/14 0:30",23.3625,57
"1/2/14 0:45",24.9425,57
"1/2/14 1:00",24.44,57.4
"1/2/14 1:15",23.2275,57.4
"1/2/14 1:30",23.2275,57.4
"1/2/14 1:45",21.64,57.2
"1/2/14 2:00",24.2075,57
"1/2/14 2:15",21.9825,56.9
"1/2/14 2:30",25.0175,56.8
"1/2/14 2:45",24.665,56.7
"1/2/14 3:00",23.2375,56.6
"1/2/14 3:15",23.175,56.7
"1/2/14 3:30",24.1625,56.7
"1/2/14 3:45",24.88,56.5
"1/2/14 4:00",25.7725,55.4
"1/2/14 4:15",22.43,55.1
"1/2/14 4:30",22.125,55.9
"1/2/14 4:45",24.2825,56
"1/2/14 5:00",23.7775,56.3
"1/2/14 5:15",24.035,55.2
"1/2/14 5:30",21.94,54.1
"1/2/14 5:45",26.43,54
"1/2/14 6:00",25.345,54.1
"1/2/14 6:15",27.17,53.7
"1/2/14 6:30",29.195,53.6
"1/2/14 6:45",29.055,54
"1/2/14 7:00",28.1225,54
"1/2/14 7:15",28.645,54.2
"1/2/14 7:30",29.8625,53.5
"1/2/14 7:45",27.425,53.9
"1/2/14 8:00",27.8775,52.7
"1/2/14 8:15",27.51,52.2
"1/2/14 8:30",27.4625,50.9
"1/2/14 8:45",31.1975,50.7
"1/2/14 9:00",29.515,51.9
"1/2/14 9:15",28.475,51.4
"1/2/14 9:30",30.565,53
"1/2/14 9:45",30.7075,52.7
"1/2/14 10:00",30.3475,53.1
"1/2/14 10:15",30.03,53.7
"1/2/14 10:30",29.165,54.5
"1/2/14 10:45",32.09,54.5
"1/2/14 11:00",30.1875,55.4
"1/2/14 11:15",32.1325,56.3
"1/2/14 11:30",32.135,58.6
"1/2/14 11:45",33.5025,58.9
"1/2/14 12:00",31.05,59.8
"1/2/14 12:15",29.8875,61.3
"1/2/14 12:30",32.8875,62.4
"1/2/14 12:45",31.765,62.6
"1/2/14 13:00",30.235,63.7
"1/2/14 13:15",28.8875,64.8
"1/2/14 13:30",29.15,65.9
"1/2/14 13:45",33.755,66.7
"1/2/14 14:00",35.9925,67.1
"1/2/14 14:15",34.5375,67.1
"1/2/14 14:30",34.91,66.8
"1/2/14 14:45",35.8275,66.9
"1/2/14 15:00",32.4625,66.3
"1/2/14 15:15",32.62,65.8
"1/2/14 15:30",30.5725,66.4
"1/2/14 15:45",29.9825,66.3
"1/2/14 16:00",31.3125,66.3
"1/2/14 16:15",28.6425,65.4
"1/2/14 16:30",31.6575,64.6
"1/2/14 16:45",32.7125,63.4
"1/2/14 17:00",32.115,61.4
"1/2/14 17:15",31.6575,61.3
"1/2/14 17:30",29.3325,60.7
"1/2/14 17:45",30.6825,60.9
"1/2/14 18:00",27.7225,60.3
"1/2/14 18:15",26.4125,60.3
"1/2/14 18:30",28.1875,60
"1/2/14 18:45",28.8125,59.8
"1/2/14 19:00",28.6175,59.7
"1/2/14 19:15",26.9625,60.8
"1/2/14 19:30",25.08,60.1
"1/2/14 19:45",27.845,60.3
"1/2/14 20:00",27.6475,60.1
"1/2/14 20:15",24.17,60
"1/2/14 20:30",26.9075,59.4
"1/2/14 20:45",29.355,59.3
"1/2/14 21:00",26.93,58.1
"1/2/14 21:15",24.5625,57.3
"1/2/14 21:30",25.5725,57.7
"1/2/14 21:45",26.0375,57.7
"1/2/14 22:00",26.2675,60.2
"1/2/14 22:15",24.6475,58.9
"1/2/14 22:30",26.11,56.4
"1/2/14 22:45",24.8375,55.9
"1/2/14 23:00",22.7725,55.6
"1/2/14 23:15",23.9475,55.8
"1/2/14 23:30",23.8775,56.9
"1/2/14 23:45",24.245,56.7
"1/3/14 0:00",22.955,57.1
"1/3/14 0:15",24.66,56.8
"1/3/14 0:30",23.1775,56.7
"1/3/14 0:45",22.47,56.9
"1/3/14 1:00",23.105,56.2
"1/3/14 1:15",21.555,55.9
"1/3/14 1:30",23.905,56
"1/3/14 1:45",25.2675,55.7
"1/3/14 2:00",24.405,55.7
"1/3/14 2:15",23.1575,55.8
"1/3/14 2:30",23.6175,56.6
"1/3/14 2:45",25.3625,57
"1/3/14 3:00",22.4225,57.8
"1/3/14 3:15",22.9625,57.9
"1/3/14 3:30",24.305,57
"1/3/14 3:45",23.4075,56.1
"1/3/14 4:00",25.57,55.4
"1/3/14 4:15",23.1925,55.4
"1/3/14 4:30",25.32,56.1
"1/3/14 4:45",25.0075,56.5
"1/3/14 5:00",25.295,56.1
"1/3/14 5:15",25.8475,55.8
"1/3/14 5:30",24.795,53.2
"1/3/14 5:45",25.555,52.8
"1/3/14 6:00",25.53,51.9
"1/3/14 6:15",28.7975,52.1
"1/3/14 6:30",31.2775,53.5
"1/3/14 6:45",27.965,53.4
"1/3/14 7:00",28.045,52.7
"1/3/14 7:15",26.8075,53.9
"1/3/14 7:30",27.325,53.7
"1/3/14 7:45",29.5875,53.6
"1/3/14 8:00",28.49,52.1
"1/3/14 8:15",29.115,51.7
"1/3/14 8:30",29.1375,52.9
"1/3/14 8:45",26.99,52.6
"1/3/14 9:00",29.41,52.7
"1/3/14 9:15",29.0675,52.9
"1/3/14 9:30",27.2625,56.8
"1/3/14 9:45",30.035,58.4
"1/3/14 10:00",32.485,54.8
"1/3/14 10:15",29.34,53.5
"1/3/14 10:30",30.6775,53.9
"1/3/14 10:45",31.415,54.4
"1/3/14 11:00",29.89,55.7
"1/3/14 11:15",28.85,56
"1/3/14 11:30",31.2475,57.7
"1/3/14 11:45",30.895,58
"1/3/14 12:00",33.3125,58.4
"1/3/14 12:15",30.56,58.4
"1/3/14 12:30",30.9075,59.9
"1/3/14 12:45",32.5075,59.8
"1/3/14 13:00",30.5975,61.8
"1/3/14 13:15",34.06,62.7
"1/3/14 13:30",34.6175,62.3
"1/3/14 13:45",34.8725,62
"1/3/14 14:00",32.715,63.6
"1/3/14 14:15",35.38,63.1
"1/3/14 14:30",33.205,63.3
"1/3/14 14:45",35.5225,63.9
"1/3/14 15:00",33.8725,64.1
"1/3/14 15:15",33.5275,63.6
"1/3/14 15:30",34.1475,64.2
"1/3/14 15:45",33.1,63.2
"1/3/14 16:00",31.1425,63.4
"1/3/14 16:15",30.3375,63.2
"1/3/14 16:30",30.525,62.7
"1/3/14 16:45",31.83,62.6
"1/3/14 17:00",29.165,61.3
"1/3/14 17:15",28.875,59.9
"1/3/14 17:30",29.565,59.4
"1/3/14 17:45",32.09,59.6
"1/3/14 18:00",28.7075,59.6
"1/3/14 18:15",28.0975,59.2
"1/3/14 18:30",25.835,59.9
"1/3/14 18:45",25.28,59.3
